PERÍODO;UNIDADES;TOTAL;ID LOJA;;;;;;
11/07/2022;BOA VISTA SHOPPING;3324;706;;;;;;
12/07/2022;BOA VISTA SHOPPING;2893;706;;;;;;
13/07/2022;BOA VISTA SHOPPING;2823;706;;;;;;
14/07/2022;BOA VISTA SHOPPING;2811;706;;;;;;
15/07/2022;BOA VISTA SHOPPING;2921;706;;;;;;
01/07/2022;CAMAPUÃ;4750;118;;;;;;
02/07/2022;CAMAPUÃ;4604;118;;;;;;
03/07/2022;CAMAPUÃ;1860;118;;;;;;
04/07/2022;CAMAPUÃ;4607;118;;;;;;
05/07/2022;CAMAPUÃ;4622;118;;;;;;
06/07/2022;CAMAPUÃ;4809;118;;;;;;
07/07/2022;CAMAPUÃ;4738;118;;;;;;
08/07/2022;CAMAPUÃ;4373;118;;;;;;
09/07/2022;CAMAPUÃ;4689;118;;;;;;
10/07/2022;CAMAPUÃ;1944;118;;;;;;
11/07/2022;CAMAPUÃ;4447;118;;;;;;
12/07/2022;CAMAPUÃ;3942;118;;;;;;
13/07/2022;CAMAPUÃ;3576;118;;;;;;
14/07/2022;CAMAPUÃ;3410;118;;;;;;
15/07/2022;CAMAPUÃ;3951;118;;;;;;
01/07/2022;COARI;1488;591;;;;;;
02/07/2022;COARI;1333;591;;;;;;
03/07/2022;COARI;456;591;;;;;;
04/07/2022;COARI;1367;591;;;;;;
05/07/2022;COARI;916;591;;;;;;
06/07/2022;COARI;1240;591;;;;;;
07/07/2022;COARI;968;591;;;;;;
08/07/2022;COARI;939;591;;;;;;
09/07/2022;COARI;1084;591;;;;;;
10/07/2022;COARI;396;591;;;;;;
11/07/2022;COARI;1063;591;;;;;;
12/07/2022;COARI;877;591;;;;;;
13/07/2022;COARI;951;591;;;;;;
14/07/2022;COARI;829;591;;;;;;
15/07/2022;COARI;982;591;;;;;;
01/07/2022;EDUCANDOS;2093;105;;;;;;
02/07/2022;EDUCANDOS;2030;105;;;;;;
03/07/2022;EDUCANDOS;649;105;;;;;;
04/07/2022;EDUCANDOS;2245;105;;;;;;
05/07/2022;EDUCANDOS;2203;105;;;;;;
06/07/2022;EDUCANDOS;2265;105;;;;;;
07/07/2022;EDUCANDOS;2086;105;;;;;;
08/07/2022;EDUCANDOS;2027;105;;;;;;
09/07/2022;EDUCANDOS;2014;105;;;;;;
10/07/2022;EDUCANDOS;635;105;;;;;;
11/07/2022;EDUCANDOS;2005;105;;;;;;
12/07/2022;EDUCANDOS;1871;105;;;;;;
13/07/2022;EDUCANDOS;1737;105;;;;;;
14/07/2022;EDUCANDOS;1548;105;;;;;;
15/07/2022;EDUCANDOS;1848;105;;;;;;
01/07/2022;GRANDE CIRCULAR;5363;109;;;;;;
02/07/2022;GRANDE CIRCULAR;5859;109;;;;;;
03/07/2022;GRANDE CIRCULAR;3017;109;;;;;;
04/07/2022;GRANDE CIRCULAR;5147;109;;;;;;
05/07/2022;GRANDE CIRCULAR;5229;109;;;;;;
06/07/2022;GRANDE CIRCULAR;5365;109;;;;;;
07/07/2022;GRANDE CIRCULAR;5439;109;;;;;;
08/07/2022;GRANDE CIRCULAR;4809;109;;;;;;
09/07/2022;GRANDE CIRCULAR;5708;109;;;;;;
10/07/2022;GRANDE CIRCULAR;3055;109;;;;;;
11/07/2022;GRANDE CIRCULAR;4613;109;;;;;;
12/07/2022;GRANDE CIRCULAR;3723;109;;;;;;
13/07/2022;GRANDE CIRCULAR;3288;109;;;;;;
14/07/2022;GRANDE CIRCULAR;3271;109;;;;;;
15/07/2022;GRANDE CIRCULAR;4242;109;;;;;;
01/07/2022;ITACOATIARA;3334;510;;;;;;
02/07/2022;ITACOATIARA;2233;510;;;;;;
03/07/2022;ITACOATIARA;660;510;;;;;;
04/07/2022;ITACOATIARA;2991;510;;;;;;
05/07/2022;ITACOATIARA;2637;510;;;;;;
06/07/2022;ITACOATIARA;2572;510;;;;;;
07/07/2022;ITACOATIARA;2604;510;;;;;;
08/07/2022;ITACOATIARA;2235;510;;;;;;
09/07/2022;ITACOATIARA;1841;510;;;;;;
10/07/2022;ITACOATIARA;528;510;;;;;;
11/07/2022;ITACOATIARA;2076;510;;;;;;
12/07/2022;ITACOATIARA;1792;510;;;;;;
13/07/2022;ITACOATIARA;1728;510;;;;;;
14/07/2022;ITACOATIARA;1434;510;;;;;;
15/07/2022;ITACOATIARA;1745;510;;;;;;
01/07/2022;JATUARANA;3882;204;;;;;;
02/07/2022;JATUARANA;3580;204;;;;;;
03/07/2022;JATUARANA;796;204;;;;;;
04/07/2022;JATUARANA;2814;204;;;;;;
05/07/2022;JATUARANA;2954;204;;;;;;
06/07/2022;JATUARANA;3214;204;;;;;;
07/07/2022;JATUARANA;3590;204;;;;;;
08/07/2022;JATUARANA;2766;204;;;;;;
09/07/2022;JATUARANA;430;204;;;;;;
10/07/2022;JATUARANA;20;204;;;;;;
11/07/2022;JATUARANA;2574;204;;;;;;
12/07/2022;JATUARANA;2994;204;;;;;;
13/07/2022;JATUARANA;2480;204;;;;;;
14/07/2022;JATUARANA;2132;204;;;;;;
15/07/2022;JATUARANA;2004;204;;;;;;
01/07/2022;MANACAPURU;1229;520;;;;;;
02/07/2022;MANACAPURU;1059;520;;;;;;
03/07/2022;MANACAPURU;325;520;;;;;;
04/07/2022;MANACAPURU;1204;520;;;;;;
05/07/2022;MANACAPURU;1149;520;;;;;;
06/07/2022;MANACAPURU;1105;520;;;;;;
07/07/2022;MANACAPURU;1010;520;;;;;;
08/07/2022;MANACAPURU;1061;520;;;;;;
09/07/2022;MANACAPURU;1021;520;;;;;;
10/07/2022;MANACAPURU;301;520;;;;;;
11/07/2022;MANACAPURU;1006;520;;;;;;
12/07/2022;MANACAPURU;1032;520;;;;;;
13/07/2022;MANACAPURU;1130;520;;;;;;
14/07/2022;MANACAPURU;1112;520;;;;;;
15/07/2022;MANACAPURU;1149;520;;;;;;
01/07/2022;MANAUARA;4037;119;;;;;;
02/07/2022;MANAUARA;4044;119;;;;;;
03/07/2022;MANAUARA;2807;119;;;;;;
04/07/2022;MANAUARA;3696;119;;;;;;
05/07/2022;MANAUARA;3259;119;;;;;;
06/07/2022;MANAUARA;3613;119;;;;;;
07/07/2022;MANAUARA;3503;119;;;;;;
08/07/2022;MANAUARA;3430;119;;;;;;
09/07/2022;MANAUARA;3729;119;;;;;;
10/07/2022;MANAUARA;2494;119;;;;;;
11/07/2022;MANAUARA;3280;119;;;;;;
12/07/2022;MANAUARA;2931;119;;;;;;
13/07/2022;MANAUARA;2738;119;;;;;;
14/07/2022;MANAUARA;2698;119;;;;;;
15/07/2022;MANAUARA;3262;119;;;;;;
01/07/2022;MATRIZ;6498;101;;;;;;
02/07/2022;MATRIZ;5170;101;;;;;;
03/07/2022;MATRIZ;0;101;;;;;;
04/07/2022;MATRIZ;5948;101;;;;;;
05/07/2022;MATRIZ;5616;101;;;;;;
06/07/2022;MATRIZ;5827;101;;;;;;
07/07/2022;MATRIZ;5535;101;;;;;;
08/07/2022;MATRIZ;5580;101;;;;;;
09/07/2022;MATRIZ;4869;101;;;;;;
10/07/2022;MATRIZ;0;101;;;;;;
11/07/2022;MATRIZ;5333;101;;;;;;
12/07/2022;MATRIZ;5251;101;;;;;;
13/07/2022;MATRIZ;4603;101;;;;;;
14/07/2022;MATRIZ;4314;101;;;;;;
15/07/2022;MATRIZ;4869;101;;;;;;
01/07/2022;MILLENNIUM;0;117;;;;;;
02/07/2022;MILLENNIUM;0;117;;;;;;
03/07/2022;MILLENNIUM;0;117;;;;;;
04/07/2022;MILLENNIUM;0;117;;;;;;
05/07/2022;MILLENNIUM;807;117;;;;;;
06/07/2022;MILLENNIUM;1666;117;;;;;;
07/07/2022;MILLENNIUM;1684;117;;;;;;
08/07/2022;MILLENNIUM;1530;117;;;;;;
09/07/2022;MILLENNIUM;1153;117;;;;;;
10/07/2022;MILLENNIUM;267;117;;;;;;
11/07/2022;MILLENNIUM;1559;117;;;;;;
12/07/2022;MILLENNIUM;1453;117;;;;;;
13/07/2022;MILLENNIUM;1381;117;;;;;;
14/07/2022;MILLENNIUM;1265;117;;;;;;
15/07/2022;MILLENNIUM;1379;117;;;;;;
01/07/2022;NOVA CIDADE;4405;121;;;;;;
02/07/2022;NOVA CIDADE;4317;121;;;;;;
03/07/2022;NOVA CIDADE;2450;121;;;;;;
04/07/2022;NOVA CIDADE;4082;121;;;;;;
05/07/2022;NOVA CIDADE;3867;121;;;;;;
06/07/2022;NOVA CIDADE;3942;121;;;;;;
07/07/2022;NOVA CIDADE;3973;121;;;;;;
08/07/2022;NOVA CIDADE;3895;121;;;;;;
09/07/2022;NOVA CIDADE;4342;121;;;;;;
10/07/2022;NOVA CIDADE;2380;121;;;;;;
11/07/2022;NOVA CIDADE;3771;121;;;;;;
12/07/2022;NOVA CIDADE;3732;121;;;;;;
13/07/2022;NOVA CIDADE;3027;121;;;;;;
14/07/2022;NOVA CIDADE;2959;121;;;;;;
15/07/2022;NOVA CIDADE;3631;121;;;;;;
01/07/2022;PONTA NEGRA;3017;114;;;;;;
02/07/2022;PONTA NEGRA;2813;114;;;;;;
03/07/2022;PONTA NEGRA;2101;114;;;;;;
04/07/2022;PONTA NEGRA;2918;114;;;;;;
05/07/2022;PONTA NEGRA;2803;114;;;;;;
06/07/2022;PONTA NEGRA;3172;114;;;;;;
07/07/2022;PONTA NEGRA;2972;114;;;;;;
08/07/2022;PONTA NEGRA;2834;114;;;;;;
09/07/2022;PONTA NEGRA;2975;114;;;;;;
10/07/2022;PONTA NEGRA;1909;114;;;;;;
11/07/2022;PONTA NEGRA;2838;114;;;;;;
12/07/2022;PONTA NEGRA;2378;114;;;;;;
13/07/2022;PONTA NEGRA;2211;114;;;;;;
14/07/2022;PONTA NEGRA;2180;114;;;;;;
15/07/2022;PONTA NEGRA;2646;114;;;;;;
01/07/2022;PONTA NEGRA SHOPPING;1903;120;;;;;;
02/07/2022;PONTA NEGRA SHOPPING;2071;120;;;;;;
03/07/2022;PONTA NEGRA SHOPPING;1353;120;;;;;;
04/07/2022;PONTA NEGRA SHOPPING;1862;120;;;;;;
05/07/2022;PONTA NEGRA SHOPPING;1933;120;;;;;;
06/07/2022;PONTA NEGRA SHOPPING;2167;120;;;;;;
07/07/2022;PONTA NEGRA SHOPPING;1899;120;;;;;;
08/07/2022;PONTA NEGRA SHOPPING;1913;120;;;;;;
09/07/2022;PONTA NEGRA SHOPPING;2471;120;;;;;;
10/07/2022;PONTA NEGRA SHOPPING;1688;120;;;;;;
11/07/2022;PONTA NEGRA SHOPPING;1644;120;;;;;;
12/07/2022;PONTA NEGRA SHOPPING;1466;120;;;;;;
13/07/2022;PONTA NEGRA SHOPPING;1494;120;;;;;;
14/07/2022;PONTA NEGRA SHOPPING;1290;120;;;;;;
15/07/2022;PONTA NEGRA SHOPPING;1494;120;;;;;;
01/07/2022;PORTO VELHO CENTRO;2960;201;;;;;;
02/07/2022;PORTO VELHO CENTRO;2752;201;;;;;;
03/07/2022;PORTO VELHO CENTRO;0;201;;;;;;
04/07/2022;PORTO VELHO CENTRO;2743;201;;;;;;
05/07/2022;PORTO VELHO CENTRO;2740;201;;;;;;
06/07/2022;PORTO VELHO CENTRO;2658;201;;;;;;
07/07/2022;PORTO VELHO CENTRO;2763;201;;;;;;
08/07/2022;PORTO VELHO CENTRO;2657;201;;;;;;
09/07/2022;PORTO VELHO CENTRO;2341;201;;;;;;
10/07/2022;PORTO VELHO CENTRO;0;201;;;;;;
11/07/2022;PORTO VELHO CENTRO;2698;201;;;;;;
12/07/2022;PORTO VELHO CENTRO;2228;201;;;;;;
13/07/2022;PORTO VELHO CENTRO;2095;201;;;;;;
14/07/2022;PORTO VELHO CENTRO;2053;201;;;;;;
15/07/2022;PORTO VELHO CENTRO;2238;201;;;;;;
01/07/2022;PORTO VELHO SHOPPING;2263;202;;;;;;
02/07/2022;PORTO VELHO SHOPPING;2537;202;;;;;;
03/07/2022;PORTO VELHO SHOPPING;1900;202;;;;;;
04/07/2022;PORTO VELHO SHOPPING;2138;202;;;;;;
05/07/2022;PORTO VELHO SHOPPING;2169;202;;;;;;
06/07/2022;PORTO VELHO SHOPPING;2293;202;;;;;;
07/07/2022;PORTO VELHO SHOPPING;2305;202;;;;;;
08/07/2022;PORTO VELHO SHOPPING;2148;202;;;;;;
09/07/2022;PORTO VELHO SHOPPING;2605;202;;;;;;
10/07/2022;PORTO VELHO SHOPPING;1642;202;;;;;;
11/07/2022;PORTO VELHO SHOPPING;2217;202;;;;;;
12/07/2022;PORTO VELHO SHOPPING;1843;202;;;;;;
13/07/2022;PORTO VELHO SHOPPING;1898;202;;;;;;
14/07/2022;PORTO VELHO SHOPPING;1912;202;;;;;;
15/07/2022;PORTO VELHO SHOPPING;2075;202;;;;;;
01/07/2022;RIO BRANCO SHOPPING;1516;401;;;;;;
02/07/2022;RIO BRANCO SHOPPING;2120;401;;;;;;
03/07/2022;RIO BRANCO SHOPPING;1547;401;;;;;;
04/07/2022;RIO BRANCO SHOPPING;1469;401;;;;;;
05/07/2022;RIO BRANCO SHOPPING;1478;401;;;;;;
06/07/2022;RIO BRANCO SHOPPING;1481;401;;;;;;
07/07/2022;RIO BRANCO SHOPPING;1712;401;;;;;;
08/07/2022;RIO BRANCO SHOPPING;1883;401;;;;;;
09/07/2022;RIO BRANCO SHOPPING;2172;401;;;;;;
10/07/2022;RIO BRANCO SHOPPING;1689;401;;;;;;
11/07/2022;RIO BRANCO SHOPPING;1389;401;;;;;;
12/07/2022;RIO BRANCO SHOPPING;1060;401;;;;;;
13/07/2022;RIO BRANCO SHOPPING;955;401;;;;;;
14/07/2022;RIO BRANCO SHOPPING;950;401;;;;;;
15/07/2022;RIO BRANCO SHOPPING;1075;401;;;;;;
01/07/2022;STUDIO 5;3032;116;;;;;;
02/07/2022;STUDIO 5;3883;116;;;;;;
03/07/2022;STUDIO 5;1464;116;;;;;;
04/07/2022;STUDIO 5;2922;116;;;;;;
05/07/2022;STUDIO 5;2883;116;;;;;;
06/07/2022;STUDIO 5;2785;116;;;;;;
07/07/2022;STUDIO 5;3349;116;;;;;;
08/07/2022;STUDIO 5;2840;116;;;;;;
09/07/2022;STUDIO 5;3193;116;;;;;;
10/07/2022;STUDIO 5;1428;116;;;;;;
11/07/2022;STUDIO 5;2591;116;;;;;;
12/07/2022;STUDIO 5;2154;116;;;;;;
13/07/2022;STUDIO 5;2101;116;;;;;;
14/07/2022;STUDIO 5;1830;116;;;;;;
15/07/2022;STUDIO 5;2248;116;;;;;;
16/07/2022;AMAZONAS SHOPPING;22865;106;;;;;;
17/07/2022;AMAZONAS SHOPPING;14483;106;;;;;;
18/07/2022;AMAZONAS SHOPPING;10509;106;;;;;;
19/07/2022;AMAZONAS SHOPPING;3817;106;;;;;;
20/07/2022;AMAZONAS SHOPPING;11301;106;;;;;;
21/07/2022;AMAZONAS SHOPPING;10623;106;;;;;;
22/07/2022;AMAZONAS SHOPPING;11049;106;;;;;;
23/07/2022;AMAZONAS SHOPPING;12173;106;;;;;;
24/07/2022;AMAZONAS SHOPPING;7872;106;;;;;;
25/07/2022;AMAZONAS SHOPPING;10246;106;;;;;;
26/07/2022;AMAZONAS SHOPPING;10228;106;;;;;;
27/07/2022;AMAZONAS SHOPPING;10191;106;;;;;;
28/07/2022;AMAZONAS SHOPPING;10903;106;;;;;;
29/07/2022;AMAZONAS SHOPPING;12855;106;;;;;;
30/07/2022;AMAZONAS SHOPPING;14331;106;;;;;;
31/07/2022;AMAZONAS SHOPPING;9487;106;;;;;;
16/07/2022;AVENIDA;17266;103;;;;;;
17/07/2022;AVENIDA;3739;103;;;;;;
18/07/2022;AVENIDA;13987;103;;;;;;
19/07/2022;AVENIDA;13295;103;;;;;;
20/07/2022;AVENIDA;13662;103;;;;;;
21/07/2022;AVENIDA;3740;103;;;;;;
22/07/2022;AVENIDA;12635;103;;;;;;
23/07/2022;AVENIDA;17033;103;;;;;;
24/07/2022;AVENIDA;3099;103;;;;;;
25/07/2022;AVENIDA;13770;103;;;;;;
26/07/2022;AVENIDA;13504;103;;;;;;
27/07/2022;AVENIDA;13375;103;;;;;;
28/07/2022;AVENIDA;14499;103;;;;;;
29/07/2022;AVENIDA;16450;103;;;;;;
30/07/2022;AVENIDA;19692;103;;;;;;
31/07/2022;AVENIDA;3910;103;;;;;;
16/07/2022;BOA VISTA SHOPPING;3654;701;;;;;;
17/07/2022;BOA VISTA SHOPPING;2924;701;;;;;;
18/07/2022;BOA VISTA SHOPPING;2824;701;;;;;;
19/07/2022;BOA VISTA SHOPPING;2634;701;;;;;;
20/07/2022;BOA VISTA SHOPPING;2548;701;;;;;;
21/07/2022;BOA VISTA SHOPPING;2550;701;;;;;;
22/07/2022;BOA VISTA SHOPPING;2547;701;;;;;;
23/07/2022;BOA VISTA SHOPPING;3201;701;;;;;;
24/07/2022;BOA VISTA SHOPPING;2875;701;;;;;;
25/07/2022;BOA VISTA SHOPPING;2529;701;;;;;;
26/07/2022;BOA VISTA SHOPPING;2640;701;;;;;;
27/07/2022;BOA VISTA SHOPPING;2408;701;;;;;;
28/07/2022;BOA VISTA SHOPPING;2673;701;;;;;;
29/07/2022;BOA VISTA SHOPPING;2479;701;;;;;;
30/07/2022;BOA VISTA SHOPPING;3506;701;;;;;;
31/07/2022;BOA VISTA SHOPPING;3066;701;;;;;;
16/07/2022;CAMAPUÃ;4251;118;;;;;;
17/07/2022;CAMAPUÃ;1770;118;;;;;;
18/07/2022;CAMAPUÃ;3519;118;;;;;;
19/07/2022;CAMAPUÃ;0;118;;;;;;
20/07/2022;CAMAPUÃ;0;118;;;;;;
21/07/2022;CAMAPUÃ;0;118;;;;;;
22/07/2022;CAMAPUÃ;0;118;;;;;;
23/07/2022;CAMAPUÃ;0;118;;;;;;
24/07/2022;CAMAPUÃ;0;118;;;;;;
25/07/2022;CAMAPUÃ;0;118;;;;;;
26/07/2022;CAMAPUÃ;0;118;;;;;;
27/07/2022;CAMAPUÃ;2079;118;;;;;;
28/07/2022;CAMAPUÃ;3614;118;;;;;;
29/07/2022;CAMAPUÃ;4074;118;;;;;;
30/07/2022;CAMAPUÃ;4273;118;;;;;;
31/07/2022;CAMAPUÃ;1678;118;;;;;;
16/07/2022;BOA VISTA SHOPPING;5727;701;;;;;;
17/07/2022;BOA VISTA SHOPPING;4126;701;;;;;;
18/07/2022;BOA VISTA SHOPPING;5756;701;;;;;;
19/07/2022;BOA VISTA SHOPPING;4487;701;;;;;;
20/07/2022;BOA VISTA SHOPPING;4706;701;;;;;;
21/07/2022;BOA VISTA SHOPPING;4370;701;;;;;;
22/07/2022;BOA VISTA SHOPPING;4218;701;;;;;;
23/07/2022;BOA VISTA SHOPPING;4967;701;;;;;;
24/07/2022;BOA VISTA SHOPPING;3581;701;;;;;;
25/07/2022;BOA VISTA SHOPPING;4587;701;;;;;;
26/07/2022;BOA VISTA SHOPPING;4553;701;;;;;;
27/07/2022;BOA VISTA SHOPPING;4234;701;;;;;;
28/07/2022;BOA VISTA SHOPPING;4558;701;;;;;;
29/07/2022;BOA VISTA SHOPPING;5515;701;;;;;;
30/07/2022;BOA VISTA SHOPPING;6203;701;;;;;;
31/07/2022;BOA VISTA SHOPPING;4269;701;;;;;;
16/07/2022;COARI;778;591;;;;;;
17/07/2022;COARI;243;591;;;;;;
18/07/2022;COARI;1059;591;;;;;;
19/07/2022;COARI;942;591;;;;;;
20/07/2022;COARI;966;591;;;;;;
21/07/2022;COARI;961;591;;;;;;
22/07/2022;COARI;1054;591;;;;;;
23/07/2022;COARI;1035;591;;;;;;
24/07/2022;COARI;309;591;;;;;;
25/07/2022;COARI;1024;591;;;;;;
26/07/2022;COARI;475;591;;;;;;
27/07/2022;COARI;1279;591;;;;;;
28/07/2022;COARI;1062;591;;;;;;
29/07/2022;COARI;1175;591;;;;;;
30/07/2022;COARI;1079;591;;;;;;
31/07/2022;COARI;378;591;;;;;;
16/07/2022;EDUCANDOS;1871;105;;;;;;
17/07/2022;EDUCANDOS;609;105;;;;;;
18/07/2022;EDUCANDOS;1896;105;;;;;;
19/07/2022;EDUCANDOS;1843;105;;;;;;
20/07/2022;EDUCANDOS;1951;105;;;;;;
21/07/2022;EDUCANDOS;1888;105;;;;;;
22/07/2022;EDUCANDOS;1723;105;;;;;;
23/07/2022;EDUCANDOS;1792;105;;;;;;
24/07/2022;EDUCANDOS;479;105;;;;;;
25/07/2022;EDUCANDOS;1679;105;;;;;;
26/07/2022;EDUCANDOS;1715;105;;;;;;
27/07/2022;EDUCANDOS;1858;105;;;;;;
28/07/2022;EDUCANDOS;1901;105;;;;;;
29/07/2022;EDUCANDOS;2068;105;;;;;;
30/07/2022;EDUCANDOS;1919;105;;;;;;
31/07/2022;EDUCANDOS;679;105;;;;;;
16/07/2022;GRANDE CIRCULAR;5026;109;;;;;;
17/07/2022;GRANDE CIRCULAR;3013;109;;;;;;
18/07/2022;GRANDE CIRCULAR;4079;109;;;;;;
19/07/2022;GRANDE CIRCULAR;3726;109;;;;;;
20/07/2022;GRANDE CIRCULAR;4415;109;;;;;;
21/07/2022;GRANDE CIRCULAR;3982;109;;;;;;
22/07/2022;GRANDE CIRCULAR;3692;109;;;;;;
23/07/2022;GRANDE CIRCULAR;4701;109;;;;;;
24/07/2022;GRANDE CIRCULAR;2586;109;;;;;;
25/07/2022;GRANDE CIRCULAR;3978;109;;;;;;
26/07/2022;GRANDE CIRCULAR;3615;109;;;;;;
27/07/2022;GRANDE CIRCULAR;3579;109;;;;;;
28/07/2022;GRANDE CIRCULAR;3964;109;;;;;;
29/07/2022;GRANDE CIRCULAR;4692;109;;;;;;
30/07/2022;GRANDE CIRCULAR;5871;109;;;;;;
31/07/2022;GRANDE CIRCULAR;3336;109;;;;;;
16/07/2022;ITACOATIARA;1617;510;;;;;;
17/07/2022;ITACOATIARA;516;510;;;;;;
18/07/2022;ITACOATIARA;2097;510;;;;;;
19/07/2022;ITACOATIARA;1885;510;;;;;;
20/07/2022;ITACOATIARA;1899;510;;;;;;
21/07/2022;ITACOATIARA;1986;510;;;;;;
22/07/2022;ITACOATIARA;2053;510;;;;;;
23/07/2022;ITACOATIARA;1580;510;;;;;;
24/07/2022;ITACOATIARA;450;510;;;;;;
25/07/2022;ITACOATIARA;2213;510;;;;;;
26/07/2022;ITACOATIARA;1979;510;;;;;;
27/07/2022;ITACOATIARA;2160;510;;;;;;
28/07/2022;ITACOATIARA;2290;510;;;;;;
29/07/2022;ITACOATIARA;3632;510;;;;;;
30/07/2022;ITACOATIARA;2730;510;;;;;;
31/07/2022;ITACOATIARA;848;510;;;;;;
16/07/2022;JATUARANA;4964;204;;;;;;
17/07/2022;JATUARANA;1143;204;;;;;;
18/07/2022;JATUARANA;4942;204;;;;;;
19/07/2022;JATUARANA;1260;204;;;;;;
20/07/2022;JATUARANA;1573;204;;;;;;
21/07/2022;JATUARANA;1603;204;;;;;;
22/07/2022;JATUARANA;1639;204;;;;;;
23/07/2022;JATUARANA;1847;204;;;;;;
24/07/2022;JATUARANA;376;204;;;;;;
25/07/2022;JATUARANA;2197;204;;;;;;
26/07/2022;JATUARANA;1902;204;;;;;;
27/07/2022;JATUARANA;2010;204;;;;;;
28/07/2022;JATUARANA;1856;204;;;;;;
29/07/2022;JATUARANA;2393;204;;;;;;
30/07/2022;JATUARANA;2636;204;;;;;;
31/07/2022;JATUARANA;483;204;;;;;;
16/07/2022;JI-PARANÁ;0;205;;;;;;
17/07/2022;JI-PARANÁ;0;205;;;;;;
18/07/2022;JI-PARANÁ;0;205;;;;;;
19/07/2022;JI-PARANÁ;0;205;;;;;;
20/07/2022;JI-PARANÁ;450;205;;;;;;
21/07/2022;JI-PARANÁ;995;205;;;;;;
22/07/2022;JI-PARANÁ;982;205;;;;;;
23/07/2022;JI-PARANÁ;1003;205;;;;;;
24/07/2022;JI-PARANÁ;196;205;;;;;;
25/07/2022;JI-PARANÁ;979;205;;;;;;
26/07/2022;JI-PARANÁ;886;205;;;;;;
27/07/2022;JI-PARANÁ;969;205;;;;;;
28/07/2022;JI-PARANÁ;1060;205;;;;;;
29/07/2022;JI-PARANÁ;1175;205;;;;;;
30/07/2022;JI-PARANÁ;907;205;;;;;;
31/07/2022;JI-PARANÁ;272;205;;;;;;
16/07/2022;MANACAPURU;438;520;;;;;;
17/07/2022;MANACAPURU;348;520;;;;;;
18/07/2022;MANACAPURU;1153;520;;;;;;
19/07/2022;MANACAPURU;127;520;;;;;;
20/07/2022;MANACAPURU;1085;520;;;;;;
21/07/2022;MANACAPURU;1264;520;;;;;;
22/07/2022;MANACAPURU;1287;520;;;;;;
23/07/2022;MANACAPURU;1043;520;;;;;;
24/07/2022;MANACAPURU;310;520;;;;;;
25/07/2022;MANACAPURU;1287;520;;;;;;
26/07/2022;MANACAPURU;1241;520;;;;;;
27/07/2022;MANACAPURU;1321;520;;;;;;
28/07/2022;MANACAPURU;1387;520;;;;;;
29/07/2022;MANACAPURU;1251;520;;;;;;
30/07/2022;MANACAPURU;1126;520;;;;;;
31/07/2022;MANACAPURU;356;520;;;;;;
16/07/2022;MANAUARA;3505;119;;;;;;
17/07/2022;MANAUARA;2371;119;;;;;;
18/07/2022;MANAUARA;3019;119;;;;;;
19/07/2022;MANAUARA;2782;119;;;;;;
20/07/2022;MANAUARA;2810;119;;;;;;
21/07/2022;MANAUARA;2779;119;;;;;;
